Time_Diff,Zone_Section_Average_Price
67.08819444,387.98
67.06736111,387.98
66.08819444,386.63
66.06736111,386.63
65.08819444,384.3792308
65.06736111,384.3792308
64.08819444,384.3792308
64.06736111,384.3792308
63.08819444,378.9716667
63.06736111,378.9716667
62.08819444,378.7766667
62.06805556,378.7766667
61.08819444,378.7766667
61.06805556,378.7766667
60.08819444,378.7766667
60.06805556,378.7766667
59.08888889,373.9016667
59.06805556,373.9016667
58.08819444,373.3166667
58.06805556,373.3166667
57.08819444,373.025
57.06805556,373.025
56.08819444,364.85
56.06805556,364.85
55.08819444,358.322
55.06805556,358.322
54.08819444,358.322
54.06805556,358.322
53.08888889,358.322
53.06805556,358.322
52.08819444,358.322
52.06736111,358.634
50.06736111,363.86
49.08819444,363.86
49.06736111,363.86
48.08819444,363.86
48.06736111,363.86
47.08819444,371.69
47.06736111,371.69
46.08819444,379.655
43.08819444,382.58
42.08819444,382.58
40.19722222,371.132
39.20138889,371.132
36.21388889,366.686
35.21041667,365.438
34.21111111,362.195
33.21041667,362.195
32.21041667,377.5414286
31.21527778,353.885625
30.89722222,368.1221429
30.21527778,377.72
29.89652778,373.22
29.19375,373.22
28.20625,382.8990909
27.89236111,382.8990909
27.21111111,382.8990909
26.89236111,382.8990909
26.21666667,382.8990909
25.89305556,382.8990909
25.21458333,380.7718182
24.89166667,386.09
24.2125,386.09
23.89375,394.15
23.21527778,394.15
22.89583333,381.8975
22.22152778,379.79
21.89444444,377.09
21.21944444,374.1192308
20.89791667,366.2
20.21805556,351.1131579
19.22013889,351.243
18.22013889,340.5804762
17.89930556,339.0108333
17.22430556,337.1475
16.90208333,338.7308
16.22291667,332.684
15.22152778,328.852
14.95972222,330.4645833
14.62222222,339.0634615
13.22430556,339.3318519
12.95625,336.7396429
12.62152778,330.2210714
12.225,330.2210714
11.95625,329.3853571
11.62083333,330.6218519
11.22708333,329.7985185
10.95416667,328.8911111
10.62013889,320.9557143
10.22777778,320.9557143
9.954861111,320.6632143
9.619444444,316.7771429
9.228472222,316.7771429
8.954166667,315.7325
8.619444444,318.3682759
8.225,318.3682759
7.954166667,302.8437931
7.747222222,302.4278571
7.456944444,300.6327586
7.227777778,300.6327586
7.079166667,299.3316667
6.455555556,295.9153333
6.232638889,295.9153333
6.077777778,295.9153333
5.743055556,293.9653333
5.453472222,292.143871
5.225694444,292.143871
4.745138889,283.916129
4.441666667,277.4784375
4.229861111,277.4784375
4.079166667,279.7890323
3.45,259.344
3.222222222,259.344
3.079166667,253.0067857
2.795138889,245.6240741
2.448611111,241.3642857
2.222916667,241.3642857
1.793055556,234.9734783
1.618055556,234.9118182
1.449305556,232.7313636
1.2125,222.4757143
1.125694444,216.5142857
0.952777778,200.1135294
0.790277778,182.0129412
0.615972222,149.0991667
0.448611111,144.497
0.209027778,144.9377778
0.124305556,141.70375
