Time_Diff,Zone_Section_Average_Price,Section_Id,Event_Id
67.08819444,405.512,181981,9445134
67.06736111,405.512,181981,9445134
66.08819444,405.512,181981,9445134
66.06736111,405.512,181981,9445134
65.08819444,416.8025,181981,9445134
65.06736111,416.8025,181981,9445134
64.08819444,416.8025,181981,9445134
64.06736111,416.8025,181981,9445134
63.08819444,360.09,181981,9445134
63.06736111,360.09,181981,9445134
62.08819444,334.3021053,181981,9445134
62.06805556,334.3021053,181981,9445134
61.08819444,334.3021053,181981,9445134
61.06805556,334.3021053,181981,9445134
60.08819444,334.3021053,181981,9445134
60.06805556,334.3021053,181981,9445134
59.08888889,327.6457143,181981,9445134
59.06805556,327.6457143,181981,9445134
58.08819444,327.4785714,181981,9445134
58.06805556,327.4785714,181981,9445134
57.08819444,327.2557143,181981,9445134
57.06805556,327.2557143,181981,9445134
56.08819444,331.9914286,181981,9445134
56.06805556,331.9914286,181981,9445134
55.08819444,330.0895455,181981,9445134
55.06805556,330.0895455,181981,9445134
54.08819444,330.0895455,181981,9445134
54.06805556,330.0895455,181981,9445134
53.08888889,333.3842857,181981,9445134
53.06805556,333.3842857,181981,9445134
52.08819444,319.7722727,181981,9445134
52.06736111,319.7722727,181981,9445134
50.06736111,319.985,181981,9445134
49.08819444,319.985,181981,9445134
49.06736111,319.985,181981,9445134
48.08819444,319.985,181981,9445134
48.06736111,319.985,181981,9445134
47.08819444,323.9128571,181981,9445134
47.06736111,323.9128571,181981,9445134
46.08819444,323.9128571,181981,9445134
43.08819444,321.1828571,181981,9445134
42.08819444,319.0277273,181981,9445134
40.19722222,313.904,181981,9445134
39.20138889,313.904,181981,9445134
36.21388889,315.7304545,181981,9445134
35.21041667,316.8031818,181981,9445134
34.21111111,309.7551724,181981,9445134
33.21041667,308.7465517,181981,9445134
32.21041667,308.7465517,181981,9445134
31.21527778,308.2368966,181981,9445134
30.89722222,314.7418519,181981,9445134
30.21527778,314.7418519,181981,9445134
29.89652778,315.6876923,181981,9445134
29.19375,315.6876923,181981,9445134
28.20625,318.16,181981,9445134
27.89236111,319.9120833,181981,9445134
27.21111111,319.6195833,181981,9445134
26.89236111,319.6195833,181981,9445134
26.21666667,319.6195833,181981,9445134
25.89305556,319.6195833,181981,9445134
25.21458333,324.9577273,181981,9445134
24.89166667,324.9577273,181981,9445134
24.2125,318.6822727,181981,9445134
23.89375,321.7680952,181981,9445134
23.21527778,321.7680952,181981,9445134
22.89583333,325.9343478,181981,9445134
22.22152778,325.68,181981,9445134
21.89444444,327.3586364,181981,9445134
21.21944444,326.0395455,181981,9445134
20.89791667,327.2364286,181981,9445134
20.21805556,321.7213793,181981,9445134
19.22013889,316.6583333,181981,9445134
18.22013889,313.2597059,181981,9445134
17.89930556,307.9185714,181981,9445134
17.22430556,298.1040541,181981,9445134
16.90208333,294.5875,181981,9445134
16.22291667,290.8310811,181981,9445134
15.22152778,285.3961538,181981,9445134
14.95972222,282.7269231,181981,9445134
14.62222222,282.1102564,181981,9445134
13.22430556,275.0813953,181981,9445134
12.95625,332.9877273,181981,9445134
12.62152778,335.7865116,181981,9445134
12.225,335.7865116,181981,9445134
11.95625,281.367907,181981,9445134
11.62083333,281.3546512,181981,9445134
11.22708333,281.3546512,181981,9445134
10.95416667,278.5793333,181981,9445134
10.62013889,272.5693333,181981,9445134
10.22777778,272.5693333,181981,9445134
9.954861111,268.6308889,181981,9445134
9.619444444,267.4742222,181981,9445134
9.228472222,267.4742222,181981,9445134
8.954166667,265.2197674,181981,9445134
8.619444444,268.4997436,181981,9445134
8.225,268.4997436,181981,9445134
7.954166667,265.50175,181981,9445134
7.747222222,263.79025,181981,9445134
7.456944444,263.79025,181981,9445134
7.227777778,263.79025,181981,9445134
7.079166667,263.7976923,181981,9445134
6.455555556,257.2514634,181981,9445134
6.232638889,257.2514634,181981,9445134
6.077777778,257.8915,181981,9445134
5.743055556,257.114359,181981,9445134
5.453472222,257.114359,181981,9445134
5.225694444,257.114359,181981,9445134
4.745138889,256.13825,181981,9445134
4.441666667,254.9285,181981,9445134
4.229861111,254.9285,181981,9445134
4.079166667,254.9305128,181981,9445134
3.45,240.27,181981,9445134
3.222222222,240.27,181981,9445134
3.079166667,234.894,181981,9445134
2.795138889,226.30125,181981,9445134
2.448611111,216.2544737,181981,9445134
2.222916667,215.3307895,181981,9445134
1.793055556,190.2117143,181981,9445134
1.618055556,189.9515625,181981,9445134
1.449305556,192.4559459,181981,9445134
1.2125,190.6535135,181981,9445134
1.125694444,186.5064865,181981,9445134
0.952777778,185.4178125,181981,9445134
0.790277778,170.7351613,181981,9445134
0.615972222,153.5424138,181981,9445134
0.448611111,151.4806897,181981,9445134
0.209027778,145.0271429,181981,9445134
0.124305556,129.8152174,181981,9445134
